키워드,월간 검색량 (PC),월간 검색량 (Mobile),월간 검색량 (Total),블로그 누적 발행량
네이버 카페 순위,740,1800,2540,18521
야외 카페,670,16100,16770,2196628
별내 카페,1150,23700,24850,84504
카페 영업시간,1680,23900,25580,2813626
울산 카페,2260,23900,26160,620566
일산 카페,1980,26300,28280,554194
24시간 카페,1720,26700,28420,561808
양주 카페,1960,28300,30260,165169
가평 카페,2820,31100,33920,186717
부산 카페,3980,30500,34480,2236379
송도 카페,2780,32500,35280,273860
24시 카페,1500,34900,36400,163438
양평 카페,2650,33800,36450,198975
까페,2240,42400,44640,2108176
춘천 카페,3700,42700,46400,301037
주변 카페,560,53000,53560,3715060
기장 카페,4470,61600,66070,286265
파주 카페,5300,83500,88800,399023
뷔페,9560,100800,110360,2391749
근처 카페,1770,210800,212570,5397351
